OBJECTID,STREET_NAME,LENGTH_MILES,STATUS,COMPKEY,CATALYTIC_PROJECTS,NETWORK,DATE_COMPLETED,EXISTING_FACILITY_TYPE,PLANNED_FACILITY_TYPE,PROJECT_NUMBER,DATE_PLANNED,DATE_EXPIRED,SHAPE_Length
41773,PINEHURST WAY NE,0.03731289,MEETS,12232,0,CITYWIDE,2015-12-31T00:00:00.000Z,"In Street, Major Separation",,682,,,197.012065600752
41774,NW 58TH ST,0.12990031,MEETS,18367,0,CITYWIDE,2012-12-31T00:00:00.000Z,Neighborhood Greenway,,0,,,685.873615425655
41775,5TH AVE NE,0.04353611,MEETS,7289,0,LOCAL,2008-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,229.870660803307
41776,CHERRY ST,0.06099672,MEETS,9661,0,LOCAL,2011-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,322.062677792867
41777,14TH AVE S,0.05745178,MEETS,1928,0,LOCAL,2009-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,303.345377102994
41778,17TH AVE SW,0.1671212,MEETS,2503,0,LOCAL,2015-12-31T00:00:00.000Z,Neighborhood Greenway,,0,,,882.39995679082
41779,S OTHELLO ST,0.06309042,MEETS,21057,0,LOCAL,,"In Street, Minor Separation",,0,,,333.11739130404
41780,5TH AVE NE,0.0249953,MEETS,7309,0,LOCAL,2009-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,131.975201608869
41781,THORNDYKE AVE W,0.01663818,MEETS,13156,0,LOCAL,2008-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,87.8495658527525
41782,E YESLER WAY,0.00784292,MEETS,273776,0,LOCAL,2008-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,41.4106255931664
41783,PHINNEY AVE N,0.05109161,MEETS,12141,0,LOCAL,2015-12-31T00:00:00.000Z,"In Street, Minor Separation",,680,,,269.763724533843
41784,20TH AVE NW,0.05050171,MEETS,3023,0,LOCAL,2011-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,266.649028967669
41785,EASTLAKE AVE NE,0.0426716,MEETS,10185,0,CITYWIDE,2016-12-31T00:00:00.000Z,"In Street, Major Separation",,626,,,225.306037242767
41787,E PINE ST,0.0513829,MEETS,14627,0,LOCAL,1990-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,271.301711136597
41789,14TH AVE S,0.05870446,MEETS,1930,0,LOCAL,2009-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,309.959570838766
41790,21ST AVE SW,0.12774565,MEETS,3198,0,LOCAL,2015-12-31T00:00:00.000Z,Neighborhood Greenway,,178,,,674.497041416793
41791,FREMONT AVE N,0.06255574,MEETS,10542,0,CITYWIDE,,Neighborhood Greenway,,0,,,330.294285939602
41792,W NICKERSON ST,0.17640842,MEETS,23612,0,LOCAL,2010-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,931.436435520315
41793,8TH AVE,0.0758237,MEETS,8271,0,LOCAL,2011-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,400.349157809651
41794,DEXTER AVE N,0.07149992,MEETS,10089,0,LOCAL,1980-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,377.519566018262
41795,ROOSEVELT WAY NE,0.10160236,MEETS,12603,0,CITYWIDE,2016-12-31T00:00:00.000Z,"In Street, Major Separation",,706,,,536.460472013594
41796,E YESLER WAY,0.05121576,MEETS,14951,0,LOCAL,2007-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,270.419203635149
41798,31ST AVE S,0.00316902,MEETS,4828,0,LOCAL,1990-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,16.7324368294307
41799,STONE WAY N,0.0536601,MEETS,12966,0,LOCAL,2007-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,283.325335781727
41800,WESTERN AVE,0.08074629,MEETS,13509,0,LOCAL,2011-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,426.340403221781
41802,18TH AVE S,0.04695546,MEETS,2598,0,CITYWIDE,2012-12-31T00:00:00.000Z,Neighborhood Greenway,,0,,,247.924835477921
41803,20TH AVE NE,0.03640961,MEETS,2964,0,LOCAL,2010-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,192.242728808202
41805,RENTON AVE S,0.05819115,MEETS,12527,0,LOCAL,2011-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,307.249256042406
41806,GOLDEN GARDENS DR NW,0.26572833,MEETS,10665,0,LOCAL,2000-12-31T00:00:00.000Z,Sharrow,,0,,,1403.04558136148
41807,PHINNEY AVE N,0.04687481,UPGRADE,12150,0,CITYWIDE,1990-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",679,,,247.499011975524
41810,11TH AVE NE,0.02072288,UPGRADE,1415,0,CITYWIDE,2010-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",110,,,109.416789380533
41812,BEACH DR SW,0.05124169,MEETS,9101,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,371,,,270.556114150952
41815,NW 65TH ST,0.04999816,MEETS,18623,0,LOCAL,2012-12-31T00:00:00.000Z,Sharrow,,0,,,263.99031031669
41816,NW 65TH ST,0.12726041,MEETS,18637,0,LOCAL,2012-12-31T00:00:00.000Z,Sharrow,,0,,,671.934979993822
41817,S ALASKA ST,0.05157228,UPGRADE,19309,0,CITYWIDE,2010-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",709,,,272.30163969771
41819,PHINNEY AVE N,0.02526054,UPGRADE,163183,0,CITYWIDE,1990-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",679,,,133.375633595872
41822,32ND AVE NW,0.04927035,UPGRADE,4998,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",229,,,260.147447330555
41823,4TH AVE,0.05796505,UPGRADE,6125,0,CITYWIDE,2008-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",298,,,306.055459792391
41824,FREMONT AVE N,0.04360338,UPGRADE,10497,0,CITYWIDE,2008-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",484,,,230.225830013807
41827,E UNION ST,0.06482143,UPGRADE,14892,0,CITYWIDE,2008-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",450,,,342.25716931534
41829,SW AVALON WAY,0.22031012,UPGRADE,21819,0,CITYWIDE,2012-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",800,,,1163.23745814588
41830,12TH AVE NE,0.05771397,UPGRADE,1579,0,CITYWIDE,2010-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",110,,,304.729770866017
41832,GREENWOOD AVE N,0.02950332,UPGRADE,10737,0,CITYWIDE,1990-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",497,,,155.777524643525
41835,NE 125TH ST,0.06859481,UPGRADE,16495,0,CITYWIDE,2011-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",620,,,362.180616375951
41836,NE 40TH ST,0.17132541,UPGRADE,16733,0,LOCAL,2008-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",625,,,904.598153031455
41837,S HENDERSON ST,0.06607123,UPGRADE,20239,0,CITYWIDE,2000-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",733,,,348.856103856432
41838,S MCCLELLAN ST,0.04771211,UPGRADE,20815,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",867,,,251.919963641401
41840,18TH AVE S,0.05741692,MEETS,2600,0,CITYWIDE,2012-12-31T00:00:00.000Z,Neighborhood Greenway,,0,,,303.161327629487
41841,23RD AVE E,0.0867994,MEETS,3382,0,CITYWIDE,2015-12-31T00:00:00.000Z,Neighborhood Greenway,,183,,,458.300856549397
41843,FREMONT AVE N,0.02060783,UPGRADE,10493,0,CITYWIDE,2008-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",484,,,108.809365022619
41844,LAKE WASHINGTON BLVD E,0.24486624,UPGRADE,11210,0,LOCAL,2012-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",519,,,1292.89376123427
41849,INTERLAKEN DR E,0.51303397,MEETS,11030,1,CITYWIDE,2015-12-31T00:00:00.000Z,Neighborhood Greenway,,512,,,2708.81934573306
41867,S JACKSON ST,0.05663661,UPGRADE,20506,0,CITYWIDE,1990-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",744,,,299.041321538247
41876,SENECA ST,0.06096681,UPGRADE,12774,0,CITYWIDE,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",779,,,321.904730623564
41879,E CRESCENT DR,0.03985108,MEETS,13939,0,CITYWIDE,2015-12-31T00:00:00.000Z,Neighborhood Greenway,,176,,,210.413699813677
41892,FAUNTLEROY WAY SW,0.08819484,UPGRADE,10410,0,CITYWIDE,2009-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",475,,,465.668776300776
41895,PHINNEY AVE N,0.02805808,UPGRADE,12161,0,CITYWIDE,1990-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",498,,,148.146654245104
41896,QUEEN ANNE AVE N,0.06018602,UPGRADE,12299,0,CITYWIDE,2008-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",685,,,317.782211849976
41897,22ND AVE E,0.050395,MEETS,3252,0,CITYWIDE,2015-12-31T00:00:00.000Z,Neighborhood Greenway,,183,,,266.085575924472
41898,S COLUMBIAN WAY,0.02427883,UPGRADE,19694,0,CITYWIDE,2010-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",719,,,128.19223600476
41924,SENECA ST,0.046915,UPGRADE,12777,0,CITYWIDE,2012-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",779,,,247.711174683776
41925,WALLINGFORD AVE N,0.08069215,UPGRADE,13368,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",856,,,426.054558037879
41927,SENECA ST,0.06100194,UPGRADE,12773,0,CITYWIDE,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",779,,,322.090264244822
41928,STEWART ST,0.01983915,UPGRADE,12910,0,CITYWIDE,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",785,,,104.750720257571
41929,S JACKSON ST,0.04913522,UPGRADE,20501,0,CITYWIDE,1990-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",744,,,259.433969743007
41932,7TH AVE,0.05792329,MEETS,8154,0,LOCAL,2011-12-31T00:00:00.000Z,"In Street, Major Separation",,0,,,305.834979732435
41933,BROADWAY,0.04191183,MEETS,9442,0,CITYWIDE,2009-12-31T00:00:00.000Z,"In Street, Major Separation",,0,,,221.294478980671
41934,27TH AVE NE,0.12480261,MEETS,4037,0,CITYWIDE,2014-12-31T00:00:00.000Z,Neighborhood Greenway,,203,,,658.957801183401
41937,NW 65TH ST,0.05054822,MEETS,18625,0,LOCAL,2012-12-31T00:00:00.000Z,Sharrow,,0,,,266.894626107182
41938,S JACKSON ST,0.06083333,MEETS,20484,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,,0,,,321.199959388149
41940,BURKE GILMAN TRL,0.11949535,MEETS,287242,0,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,630.935436900587
41941,BURKE GILMAN TRL,0.22193383,MEETS,568446,0,CITYWIDE,1970-12-31T00:00:00.000Z,Multi-use Trail,,0,,,1171.81062536922
41942,30TH AVE S,0.03913391,MEETS,4705,0,LOCAL,2007-12-31T00:00:00.000Z,Multi-use Trail,,0,,,206.627042375704
41944,YESLER WAY,0.05811507,UPGRADE,13765,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",676,,,306.847564181972
41945,EAST GREEN LAKE DR N,0.12077422,UPGRADE,14060,0,CITYWIDE,1980-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",457,,,637.687885816081
41946,E YESLER WAY,0.05255316,UPGRADE,14948,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",453,,,277.480685896897
41948,BEACON ER AVE S,0.06831556,MEETS,167624,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,360.706133050163
41950,FREMONT AVE N,0.0605793,UPGRADE,10495,0,CITYWIDE,2008-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",484,,,319.858727748977
41953,N NORTHLAKE WAY,0.02365657,MEETS,16127,0,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,124.906714633455
41954,NE 117TH ST,0.11842306,UPGRADE,16368,0,CITYWIDE,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",161,,,625.273746092279
41956,SHIP CANAL TRL,0.12622217,MEETS,575704,0,CITYWIDE,2011-12-31T00:00:00.000Z,Multi-use Trail,,0,,,666.453040205769
41957,2ND AVE,0.08066393,MEETS,2757,0,CITYWIDE,2014-12-31T00:00:00.000Z,"In Street, Major Separation",,216,,,425.90556816893
41959,32ND AVE NW,0.05169718,UPGRADE,4999,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",229,,,272.961116708233
41962,CALIFORNIA AVE SW,0.03132781,MEETS,9565,0,LOCAL,2008-12-31T00:00:00.000Z,Sharrow,,0,,,165.410843624732
41970,CHIEF SEALTH TRL,0.29477198,MEETS,286925,0,LOCAL,2007-12-31T00:00:00.000Z,Multi-use Trail,,0,,,1556.3960397914
41971,CALIFORNIA AVE SW,0.12503122,MEETS,9560,0,LOCAL,2008-12-31T00:00:00.000Z,Sharrow,,0,,,660.164860043178
41973,GREENWOOD AVE N,0.05096871,UPGRADE,10744,0,CITYWIDE,1990-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",496,,,269.114782499606
41974,DISCOVERY PARK BLVD,0.28750417,MEETS,567326,0,LOCAL,,Sharrow,,0,,,1518.02200881755
41975,CALIFORNIA AVE SW,0.07195168,MEETS,9556,0,LOCAL,2008-12-31T00:00:00.000Z,Sharrow,,0,,,379.904862843623
41977,19TH AVE,0.080682,MEETS,2646,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,426.000936971831
41980,SW MORGAN ST,0.06239152,UPGRADE,22590,0,CITYWIDE,2008-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",823,,,329.427216719553
41981,W EMERSON ST,0.05115342,UPGRADE,23301,0,LOCAL,2008-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",846,,,270.090050188886
41982,WESTERN AVE,0.08236616,UPGRADE,13496,0,LOCAL,2008-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",861,,,434.89331927739
41983,LINDEN AVE N,0.12538087,MEETS,11460,0,CITYWIDE,2009-12-31T00:00:00.000Z,"In Street, Major Separation",,0,,,662.011017858951
41985,35TH AVE NE,0.06332506,UPGRADE,5384,0,CITYWIDE,2009-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",241,,,334.356328984082
41986,MAGNOLIA BLVD W,0.12559913,UPGRADE,11620,0,LOCAL,2008-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",556,,,663.163389758212
41987,E UNION ST,0.04321397,UPGRADE,14900,0,CITYWIDE,2008-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",452,,,228.169741670421
41988,EASTLAKE AVE NE,0.0676278,UPGRADE,10186,0,CITYWIDE,2010-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",111,,,357.074784454818
41990,PHINNEY AVE N,0.04686605,UPGRADE,12149,0,CITYWIDE,1990-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",679,,,247.452749064016
41991,EAST GREEN LAKE DR N,0.03347838,UPGRADE,14056,0,CITYWIDE,1980-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",457,,,176.765856601981
41998,S COLUMBIAN WAY,0.01276001,UPGRADE,166998,0,CITYWIDE,2010-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",719,,,67.3728548456181
42000,25TH AVE,0.05804178,MEETS,3687,0,CITYWIDE,2015-12-31T00:00:00.000Z,Neighborhood Greenway,,0,,,306.460585596425
42001,25TH AVE,0.12801487,MEETS,3689,0,CITYWIDE,2015-12-31T00:00:00.000Z,Neighborhood Greenway,,0,,,675.918499344267
42002,S GRAND ST,0.05913998,MEETS,20151,0,CITYWIDE,2015-12-31T00:00:00.000Z,Neighborhood Greenway,,729,,,312.259118108491
42004,S MASSACHUSETTS ST,0.05991308,UPGRADE,20773,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,"In Street, Minor Separation",751,,,316.341065857539
42007,SWIFT AVE S,0.04147522,UPGRADE,13041,0,CITYWIDE,2008-12-31T00:00:00.000Z,Sharrow,"In Street, Major Separation",835,,,218.989183446917
42121,E JEFFERSON ST,0.06119275,,14220,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,323.097740893114
42122,SENECA ST,0.06101128,,12779,,,2012-12-31T00:00:00.000Z,Sharrow,,,,,322.139558710183
42123,9TH AVE,0.05795036,,8511,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,305.977915643294
42124,JEFFERSON ST,0.06109595,,11066,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,322.58660245048
42125,9TH AVE,0.05795781,,8513,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,306.017242128185
42126,SPRING ST,0.06092151,,12872,,,2012-12-31T00:00:00.000Z,Sharrow,,,,,321.665549237561
42127,9TH AVE,0.05793688,,8514,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,305.906749136256
42128,9TH AVE,0.05794865,,8515,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,305.968849787195
42129,SPRING ST,0.06098472,,12870,,,2012-12-31T00:00:00.000Z,Sharrow,,,,,321.999319562792
42130,BOYLSTON AVE,0.05797482,,9371,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,306.107030087533
42131,SENECA ST,0.06096949,,12783,,,2012-12-31T00:00:00.000Z,Sharrow,,,,,321.918909041387
42132,9TH AVE,0.05798044,,8517,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,306.136715199947
42133,SENECA ST,0.06101636,,12780,,,2012-12-31T00:00:00.000Z,Sharrow,,,,,322.166378152174
42134,SPRING ST,0.06099512,,12869,,,2012-12-31T00:00:00.000Z,Sharrow,,,,,322.05421636948
42135,SPRING ST,0.06104662,,12868,,,2012-12-31T00:00:00.000Z,Sharrow,,,,,322.326169856166
42136,JEFFERSON ST,0.06084608,,11065,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,321.267289444346
42137,SPRING ST,0.06101107,,12871,,,2012-12-31T00:00:00.000Z,Sharrow,,,,,322.138423884636
42138,9TH AVE,0.05802603,,8512,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,306.377454682279
42139,JEFFERSON ST,0.0609164,,11067,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,321.638585803144
42140,VIRGINIA ST,0.04454446,,13320,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,235.194737506854
42141,1ST AVE,0.08067785,,1012,,,2009-12-31T00:00:00.000Z,Sharrow,,,,,425.979073818423
42142,ELLIOTT AVE,0.06054992,,10202,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,319.703568748671
42143,1ST AVE,0.05797425,,1018,,,2009-12-31T00:00:00.000Z,Sharrow,,,,,306.104030840698
42144,ELLIOTT AVE,0.02484267,,10201,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,131.169286250646
42145,E JEFFERSON ST,0.06107584,,14225,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,322.480441491862
42146,OLIVE WAY,0.06106006,,12043,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,322.397131395053
42147,HOWELL ST,0.06115825,,10961,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,322.915566231447
42148,EASTLAKE AVE,0.04937655,,10161,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,260.708191902964
42149,HOWELL ST,0.06285972,,10962,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,331.899346909852
42150,OLIVE WAY,0.06212136,,12041,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,328.00078322095
42151,HOWELL ST,0.03031813,,10965,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,160.079745943254
42152,ELLIOTT AVE,0.08770328,,10200,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,463.073318369068
42153,VIRGINIA ST,0.06096934,,13317,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,321.918134008397
42154,PIKE ST,0.0609609,,12197,,,2014-12-31T00:00:00.000Z,"In Street, Major Separation",,,,,321.873555081785
42155,1ST AVE,0.05789551,,1016,,,2009-12-31T00:00:00.000Z,Sharrow,,,,,305.688312806597
42156,DEXTER AVE N,0.06143809,MEETS,10083,0,LOCAL,1980-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,324.393107340194
42165,VIRGINIA ST,0.06098122,,13313,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,321.980823705117
42166,STEWART ST,0.0610469,,12898,,,2009-12-31T00:00:00.000Z,Sharrow,,,,,322.32762142521
42167,VIRGINIA ST,0.06099357,,13312,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,322.046024986103
42168,VIRGINIA ST,0.06094214,,13319,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,321.774514161257
42169,8TH AVE,0.08069036,,8280,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,426.045107701774
42170,8TH AVE,0.08061418,,8286,,,2008-12-31T00:00:00.000Z,Sharrow,,,,,425.642878005552
42171,STEWART ST,0.06100054,,12899,,,2009-12-31T00:00:00.000Z,Sharrow,,,,,322.082864691185
42172,1ST AVE,0.05806694,,1017,,,2009-12-31T00:00:00.000Z,Sharrow,,,,,306.593429047268
42173,OLIVE WAY,0.06092774,,12045,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,321.698485383987
42174,VIRGINIA ST,0.06103131,,13311,,,2010-12-31T00:00:00.000Z,Sharrow,,,,,322.245300859587
42175,1ST AVE,0.08066284,,1014,,,2009-12-31T00:00:00.000Z,Sharrow,,,,,425.899793657869
42176,HOWELL ST,0.06098528,,10964,,,2011-12-31T00:00:00.000Z,Sharrow,,,,,322.002292199967
42177,1ST AVE,0.05931194,,1020,,,2009-12-31T00:00:00.000Z,Sharrow,,,,,313.167054159118
42268,N 122ND ST,0.08109173,MEETS,15120,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,,0,,,428.164333406567
42271,NW 65TH ST,0.05202478,MEETS,18613,0,LOCAL,2012-12-31T00:00:00.000Z,Sharrow,,0,,,274.690822952846
42277,BEACON ER AVE S,0.10587109,MEETS,167173,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,558.999336627845
42278,BEACON ER AVE S,0.08321917,MEETS,167225,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,439.397241519299
42279,BURKE GILMAN TRL,0.12435603,MEETS,287217,0,CITYWIDE,1970-12-31T00:00:00.000Z,Multi-use Trail,,0,,,656.599848191428
42280,WEST MARGINAL NB WAY S,0.5082117,MEETS,490540,0,CITYWIDE,2015-12-31T00:00:00.000Z,Multi-use Trail,,416,,,2683.35777579635
42281,CALIFORNIA AVE SW,0.1262543,MEETS,9555,0,LOCAL,2008-12-31T00:00:00.000Z,Sharrow,,0,,,666.62271220381
42282,CORLISS AVE N,0.10342474,MEETS,9800,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,,0,,,546.082627717231
42285,CORLISS AVE N,0.08788949,MEETS,9799,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,,0,,,464.056481265437
42295,BEACH DR SW,0.25702621,MEETS,9107,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,370,,,1357.09839908282
42296,CARKEEK DR S,0.02784652,MEETS,9609,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,147.029649827299
42315,NW 65TH ST,0.05000079,MEETS,18615,0,LOCAL,2012-12-31T00:00:00.000Z,Sharrow,,0,,,264.00418260337
42317,DUWAMISH RIVER TRL,0.06365717,MEETS,286969,0,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,336.109833068415
42318,HIAWATHA PL S,0.13447301,MEETS,10876,0,CITYWIDE,2014-12-31T00:00:00.000Z,Neighborhood Greenway,,503,,,710.017515510243
42319,NW 65TH ST,0.06778913,MEETS,18620,0,LOCAL,2012-12-31T00:00:00.000Z,Sharrow,,0,,,357.926599075625
42322,N 43RD ST,0.04683367,MEETS,15487,0,LOCAL,2015-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,247.281767481762
42323,BURKE GILMAN TRL,0.48527604,MEETS,287260,0,CITYWIDE,1970-12-31T00:00:00.000Z,Multi-use Trail,,0,,,2562.25746919695
42324,DISCOVERY PARK BLVD,0.0682794,MEETS,567331,0,LOCAL,,Sharrow,,0,,,360.515235023155
42327,DUWAMISH RIVER TRL,0.21929671,MEETS,286965,0,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,1157.88662301442
42328,BEACON ER AVE S,0.04077762,MEETS,269638,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,,,,215.305822855814
42329,BURKE GILMAN TRL,0.12890316,MEETS,287222,0,CITYWIDE,1970-12-31T00:00:00.000Z,Multi-use Trail,,0,,,680.608677019552
42331,17TH AVE NW,0.05035047,MEETS,2442,0,CITYWIDE,2015-12-31T00:00:00.000Z,Neighborhood Greenway,,150,,,265.850465026754
42332,BEACON WR AVE S,0.05043211,MEETS,9162,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,266.28153714747
42333,S GENESEE ST,0.05872989,MEETS,20103,0,LOCAL,2012-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,310.093809670531
42335,CHIEF SEALTH TRL,0.05345787,MEETS,286934,0,LOCAL,2000-12-31T00:00:00.000Z,Multi-use Trail,,0,,,282.257552417803
42336,BURKE GILMAN TRL,0.37412812,MEETS,287198,0,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,1975.39645135098
42337,MTS N RAINIER CONNCT TRL,0.0656092,MEETS,519922,0,LOCAL,2009-12-31T00:00:00.000Z,Multi-use Trail,,0,,,346.416551464899
42338,6TH AVE,0.08064084,MEETS,7891,0,LOCAL,,"In Street, Minor Separation",,0,,,425.783638671504
42339,LATONA AVE NE,0.08698431,MEETS,11292,0,LOCAL,2011-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,459.277161657834
42341,NW 65TH ST,0.12585077,MEETS,18638,0,LOCAL,2012-12-31T00:00:00.000Z,Sharrow,,0,,,664.492061453191
42343,FREMONT AVE N,0.05025739,MEETS,10521,0,LOCAL,,Neighborhood Greenway,,487,,,265.358995501873
42344,MOUNTAINS TO SOUND TRL,0.08345004,MEETS,287024,0,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,440.616195991307
42345,11TH AVE NE,0.1022996,UPGRADE,1407,0,CITYWIDE,2010-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",111,,,540.14189802183
42346,12TH AVE NE,0.05682649,UPGRADE,1578,0,CITYWIDE,2010-12-31T00:00:00.000Z,"In Street, Minor Separation","In Street, Major Separation",110,,,300.043844023596
