OBJECTID,STREET_NAME,LENGTH_MILES,STATUS,COMPKEY,CATALYTIC_PROJECTS,NETWORK,DATE_COMPLETED,EXISTING_FACILITY_TYPE,PLANNED_FACILITY_TYPE,PROJECT_NUMBER,DATE_PLANNED,DATE_EXPIRED,SHAPE_Length
40160,12TH AVE,0.08404161,MEETS,1536,0,LOCAL,2009-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,443.739713346989
40161,12TH AVE S,0.10076852,MEETS,1681,0,CITYWIDE,2012-12-31T00:00:00.000Z,Neighborhood Greenway,,0,,,532.057768049711
40167,NE 75TH ST,0.04959293,MEETS,17525,0,LOCAL,2013-12-31T00:00:00.000Z,"In Street, Minor Separation",,646,,,261.850676100014
40168,S DAWSON ST,0.10871959,MEETS,19813,0,LOCAL,2011-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,574.039437106808
40170,14TH AVE S,0.05532597,MEETS,1922,0,LOCAL,2008-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,292.12112631968
40171,MADRONA DR,0.09711719,MEETS,11596,0,LOCAL,2012-12-31T00:00:00.000Z,"In Street, Minor Separation",,425,,,512.778786637799
40173,PHINNEY AVE N,0.06027057,MEETS,12140,0,LOCAL,2015-12-31T00:00:00.000Z,"In Street, Minor Separation",,680,,,318.228618445361
40174,E JEFFERSON ST,0.06098269,MEETS,14218,0,LOCAL,2010-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,321.988622842281
40175,NE 75TH ST,0.05002441,MEETS,17529,0,LOCAL,2013-12-31T00:00:00.000Z,"In Street, Minor Separation",,646,,,264.128892684348
40176,NE CAMPUS EB PY,0.02529146,MEETS,17985,0,LOCAL,2015-12-31T00:00:00.000Z,"In Street, Major Separation",,657,,,133.53889054338
40178,NW 58TH ST,0.12732247,MEETS,18366,0,CITYWIDE,2012-12-31T00:00:00.000Z,Neighborhood Greenway,,0,,,672.262618935784
40179,NW 58TH ST,0.13274894,MEETS,18499,0,CITYWIDE,2012-12-31T00:00:00.000Z,Neighborhood Greenway,,0,,,700.914407006433
40180,S WILLOW ST,0.04551882,MEETS,21558,0,CITYWIDE,2015-12-31T00:00:00.000Z,Neighborhood Greenway,,0,,,240.339371661999
40181,15TH AVE E,0.12538103,MEETS,2019,0,LOCAL,2009-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,662.011854085487
40182,15TH AVE S,0.02913843,MEETS,2142,0,LOCAL,2010-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,153.850905099843
40183,E PINE ST,0.04938494,MEETS,14631,0,LOCAL,1990-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,260.75250241897
40184,S OTHELLO ST,0.01725766,MEETS,21053,0,LOCAL,,"In Street, Minor Separation",,0,,,91.1204386706191
40185,SW MYRTLE ST,0.11095346,MEETS,22607,0,LOCAL,2015-12-31T00:00:00.000Z,Neighborhood Greenway,,824,,,585.834248548033
40186,12TH AVE,0.09166909,MEETS,1535,0,LOCAL,1990-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,484.012789970756
40188,GREENWOOD AVE N,0.10638001,MEETS,10759,0,LOCAL,2010-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,561.686471003845
40189,ROY ST,0.06098718,MEETS,12683,0,LOCAL,2000-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,322.012305103471
40190,UNIVERSITY WAY NE,0.01573519,MEETS,13217,0,LOCAL,2008-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,83.0818196593334
40191,UNIVERSITY WAY NE,0.14587872,MEETS,13225,0,LOCAL,2009-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,770.239649264695
40194,12TH AVE,0.04364463,MEETS,1531,0,LOCAL,1990-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,230.443661603603
40195,FREMONT AVE N,0.05004393,MEETS,10546,0,CITYWIDE,,Neighborhood Greenway,,0,,,264.231972645591
40196,ROOSEVELT WAY NE,0.12691126,MEETS,12599,0,CITYWIDE,2016-12-31T00:00:00.000Z,"In Street, Major Separation",,705,,,670.0914553701
40197,THORNDYKE AVE W,0.13989144,MEETS,13161,0,LOCAL,1990-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,738.626825430743
40198,MTS DEARBORN CONNCTR TRL,0.09981139,MEETS,287037,0,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,527.004139186594
40205,BEACH DR SW,0.05397833,MEETS,9103,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,370,,,285.005603960215
40206,BEACON ER AVE S,0.07722913,MEETS,9127,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,407.769810643473
40207,BEACON WR AVE S,0.0740304,MEETS,9143,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,390.880519627535
40210,19TH AVE,0.16370858,MEETS,2649,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,864.381328118603
40211,19TH AVE E,0.05681282,MEETS,2655,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,299.971698119037
40213,31ST AVE S,0.23316516,MEETS,4831,0,LOCAL,2008-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,1231.11203500273
